"","year","region","pctPoverty","medianIncome"
"12770",2007,13255,19.4,39310
"12795",2007,13257,18.1,33965
"12820",2007,13259,27.8,27687
"12845",2007,13261,25,34882
"12870",2007,13263,24.4,31515
"12895",2007,13265,27.8,27021
"12920",2007,13267,25.8,33003
"12945",2007,13269,24.3,29657
"12970",2007,13271,30.4,28950
"12995",2007,13273,34.5,30394
"13020",2007,13275,17.1,39665
"13045",2007,13277,28.9,37335
"13070",2007,13279,22.8,32480
"13095",2007,13281,12.3,40383
"13120",2007,13283,27.2,29442
"13145",2007,13285,16.4,40867
"13170",2007,13287,24.6,30582
"13195",2007,13289,19.5,36096
"13220",2007,13291,11.6,42302
"13245",2007,13293,18,35046
"13270",2007,13295,16.1,37568
"13295",2007,13297,12.2,53022
"13320",2007,13299,20.4,34286
"13345",2007,13301,23.3,31964
"13370",2007,13303,21.8,34760
"13395",2007,13305,17.5,38773
"13420",2007,13307,20.6,33287
"13445",2007,13309,31,31707
"13470",2007,13311,14.6,41325
"13495",2007,13313,16.5,43408
"13520",2007,13315,26.9,31697
"13545",2007,13317,20.1,32461
"13570",2007,13319,17.9,35367
"13595",2007,13321,18.3,37643
"13620",2007,15001,13.1,55779
"13645",2007,15003,7.8,64849
"13670",2007,15005,NA,NA
"13695",2007,15007,9,55786
"13720",2007,15009,6.8,60435
"13745",2007,16001,7.9,55121
"13770",2007,16003,12.6,37796
"13795",2007,16005,15.3,44150
"13820",2007,16007,11.1,42360
"13845",2007,16009,15.2,38402
"13870",2007,16011,12.8,42714
"13895",2007,16013,6.5,65857
"13920",2007,16015,12,48991
"13945",2007,16017,14.7,42420
"13970",2007,16019,10.8,51260
"13995",2007,16021,15.6,37653
"14020",2007,16023,16,38084
"14045",2007,16025,8,49016
"14070",2007,16027,14.5,43132
"14095",2007,16029,10.6,48066
"14120",2007,16031,17.8,37837
"14145",2007,16033,15,37845
"14170",2007,16035,15,38785
"14195",2007,16037,12.4,41042
"14220",2007,16039,12,50920
"14245",2007,16041,10,45370
"14270",2007,16043,13.2,40571
"14295",2007,16045,13,41392
"14320",2007,16047,13.2,39039
"14345",2007,16049,15.7,36952
"14370",2007,16051,12,47726
"14395",2007,16053,12.7,41790
"14420",2007,16055,11.3,46724
"14445",2007,16057,17,42031
"14470",2007,16059,13.5,37523
"14495",2007,16061,13,36089
"14520",2007,16063,15.1,40271
"14545",2007,16065,21.5,39543
"14570",2007,16067,16.1,39490
"14595",2007,16069,12.7,40726
"14620",2007,16071,11.5,41439
"14645",2007,16073,17.5,35683
"14670",2007,16075,14.5,42754
"14695",2007,16077,16.1,38259
"14720",2007,16079,17.5,35095
"14745",2007,16081,8.7,51900
"14770",2007,16083,12.8,39977
"14795",2007,16085,9.3,50868
"14820",2007,16087,15.4,37009
"14845",2007,17001,11.8,43602
"14870",2007,17003,27.7,28443
"14895",2007,17005,11.9,46974
"14920",2007,17007,9.8,59405
"14945",2007,17009,16.1,42205
"14970",2007,17011,9.9,45794
"14995",2007,17013,10.9,43889
"15020",2007,17015,12.2,41515
"15045",2007,17017,12,40318
"15070",2007,17019,18.2,44237
"15095",2007,17021,13,41660
"15120",2007,17023,11.5,44826
"15145",2007,17025,13.7,36401
"15170",2007,17027,9.5,52996
"15195",2007,17029,20,36007
"15220",2007,17031,14.6,52554
"15245",2007,17033,14.7,41724
"15270",2007,17035,12.3,40875
"15295",2007,17037,11.5,54945
"15320",2007,17039,9.5,47415
"15345",2007,17041,8.7,46166
"15370",2007,17043,4.8,73818
"15395",2007,17045,12.9,40544
"15420",2007,17047,11.6,40970
"15445",2007,17049,10.1,48003
"15470",2007,17051,14.3,38527
"15495",2007,17053,8.7,46388
"15520",2007,17055,17.6,33963
"15545",2007,17057,12.6,40668
"15570",2007,17059,19.9,33799
"15595",2007,17061,14,37685
"15620",2007,17063,5.4,62835
"15645",2007,17065,12.5,37500
"15670",2007,17067,10.8,45213
"15695",2007,17069,20.9,33455
"15720",2007,17071,11.4,40939
"15745",2007,17073,9.8,46209
"15770",2007,17075,11.9,44003
"15795",2007,17077,28.6,31146
"15820",2007,17079,11.1,42723
"15845",2007,17081,15.7,41705
"15870",2007,17083,9.7,54031
"15895",2007,17085,8.6,48000
"15920",2007,17087,14.2,42277
"15945",2007,17089,7.8,68513
"15970",2007,17091,13,47009
"15995",2007,17093,3.7,77938
"16020",2007,17095,17.6,37880
"16045",2007,17097,6.3,77904
"16070",2007,17099,10.3,48218
"16095",2007,17101,15.3,37921
"16120",2007,17103,9.8,47602
"16145",2007,17105,11.3,47442
"16170",2007,17107,11,44690
"16195",2007,17109,23.4,34690
"16220",2007,17111,5.3,74115
"16245",2007,17113,12.5,55018
"16270",2007,17115,15.9,44752
"16295",2007,17117,12,44025
"16320",2007,17119,11.3,52073
"16345",2007,17121,15.6,38262
"16370",2007,17123,8.1,48338
"16395",2007,17125,12.5,42946
"16420",2007,17127,15,38461
"16445",2007,17129,8.7,55268
"16470",2007,17131,8.1,48778
"16495",2007,17133,4.5,66748
"16520",2007,17135,13.8,39530
"16545",2007,17137,15.2,41833
"16570",2007,17139,8.8,46868
"16595",2007,17141,7.9,54425
"16620",2007,17143,13.6,47150
"16645",2007,17145,15.6,38983
"16670",2007,17147,6.8,55009
"16695",2007,17149,13.7,39219
"16720",2007,17151,21,36421
"16745",2007,17153,24.2,31087
"16770",2007,17155,6.9,55134
"16795",2007,17157,12.8,42980
"16820",2007,17159,14.3,38467
"16845",2007,17161,13.2,45209
"16870",2007,17163,15.8,46428
"16895",2007,17165,18.6,33724
"16920",2007,17167,12.8,48330
"16945",2007,17169,12.1,41023
"16970",2007,17171,10.5,44254
"16995",2007,17173,12.1,41337
"17020",2007,17175,9.9,43043
"17045",2007,17177,14.3,43450
"17070",2007,17179,8,52745
"17095",2007,17181,20.9,37923
"17120",2007,17183,18.6,38036
"17145",2007,17185,12.6,45931
"17170",2007,17187,12.9,41477
"17195",2007,17189,7.8,48727
"17220",2007,17191,14.7,37783
"17245",2007,17193,14.1,39797
"17270",2007,17195,11.2,43920
"17295",2007,17197,5.9,71597
"17320",2007,17199,16.3,38914
"17345",2007,17201,13.8,48394
"17370",2007,17203,5.9,62349
"17395",2007,18001,12.5,46601
"17420",2007,18003,10.9,47947
"17445",2007,18005,10.9,53395
"17470",2007,18007,10.2,44637
"17495",2007,18009,12.6,40996
"17520",2007,18011,6.6,65106
"17545",2007,18013,10.3,52038
"17570",2007,18015,9.1,48013
"17595",2007,18017,11.6,43794
"17620",2007,18019,10.3,45450
"17645",2007,18021,10.8,42755
"17670",2007,18023,11.2,46258
"17695",2007,18025,16.6,37942
"17720",2007,18027,15,41174
"17745",2007,18029,7.2,56660
"17770",2007,18031,10,45711
"17795",2007,18033,8.8,49051
"17820",2007,18035,18,38501
"17845",2007,18037,8.8,54404
"17870",2007,18039,11.1,49395
"17895",2007,18041,14.2,39948
"17920",2007,18043,10.8,52734
"17945",2007,18045,12.2,42847
"17970",2007,18047,9.3,51541
"17995",2007,18049,10.8,45944
"18020",2007,18051,10.5,47197
"18045",2007,18053,17.4,37131
"18070",2007,18055,13.3,41419
"18095",2007,18057,3.9,83059
"18120",2007,18059,4.8,65421
"18145",2007,18061,9.7,50418
"18170",2007,18063,5,66432
"18195",2007,18065,10.3,42306
"18220",2007,18067,13,45569
"18245",2007,18069,9.6,46756
"18270",2007,18071,11.8,44935
"18295",2007,18073,8.2,49945
"18320",2007,18075,10.8,40623
"18345",2007,18077,12.9,45106
"18370",2007,18079,11.9,42634
"18395",2007,18081,7,60381
"18420",2007,18083,17.1,40042
"18445",2007,18085,8.6,50815
"18470",2007,18087,9,50487
"18495",2007,18089,15,47998
"18520",2007,18091,13.6,44620
"18545",2007,18093,13.8,42018
"18570",2007,18095,13.6,43094
"18595",2007,18097,15.6,45160
"18620",2007,18099,9.4,50647
"18645",2007,18101,12.3,43574
"18670",2007,18103,12.1,44636
"18695",2007,18105,26,39563
"18720",2007,18107,10.4,48453
"18745",2007,18109,8.7,53617
"18770",2007,18111,9.3,45107
"18795",2007,18113,10.1,46924
"18820",2007,18115,9.1,48099
"18845",2007,18117,14.2,38036
"18870",2007,18119,13.1,42291
"18895",2007,18121,16.6,37932
"18920",2007,18123,12.1,42711
"18945",2007,18125,10.1,38325
"18970",2007,18127,9.1,59992
"18995",2007,18129,7.8,55562
"19020",2007,18131,11.7,42651
"19045",2007,18133,11.5,48290
"19070",2007,18135,11.3,40071
"19095",2007,18137,10.7,49651
"19120",2007,18139,11.6,45246
"19145",2007,18141,13.4,44706
"19170",2007,18143,16.5,39451
"19195",2007,18145,9.8,48708
"19220",2007,18147,9.2,52269
"19245",2007,18149,14.6,40838
"19270",2007,18151,11.6,46628
"19295",2007,18153,13.7,40957
"19320",2007,18155,14.4,42987
"19345",2007,18157,19,42325
"19370",2007,18159,7.9,54536
"19395",2007,18161,11.7,41103
"19420",2007,18163,13.9,42512
"19445",2007,18165,10.7,43637
"19470",2007,18167,16.9,37381
"19495",2007,18169,9.8,45522
"19520",2007,18171,8.3,49596
"19545",2007,18173,6.4,60748
"19570",2007,18175,14.7,37288
"19595",2007,18177,14.9,39239
"19620",2007,18179,8.5,45662
"19645",2007,18181,9.4,44881
"19670",2007,18183,7,57903
"19695",2007,19001,11.3,45478
"19720",2007,19003,10.8,37307
"19745",2007,19005,10.2,40272
