"","region","avgLength"
"622","019149",2951.25
"623","019151",2701.66666666667
"624","019153",2962.125
"625","019155",2765
"626","019157",2548
"627","019159",2960.36363636364
"628","019161",2642.76923076923
"629","019163",3005.25
"630","019165",2942.30769230769
"631","019167",2313
"632","019169",3096.30769230769
"633","019171",3197.4
"634","019173",2967.44444444444
"635","019175",2964.38461538462
"636","019177",2446.71428571429
"637","019179",2657.83333333333
"638","019181",2800.77777777778
"639","019183",2985.55555555556
"640","019185",2740.875
"641","019187",3002.83333333333
"642","019189",2732.25
"643","019191",2704.33333333333
"644","019193",3221.125
"645","019195",3237.375
"646","019197",2719.44444444444
"647","019430",3112
"648","020001",2108
"649","020003",2132.6
"650","020005",2202.8
"651","020007",1908.45454545455
"652","020009",2345.58333333333
"653","020011",2112.4
"654","020013",2448.11111111111
"655","020015",2288.1875
"656","020017",2421.33333333333
"657","020019",2026.14285714286
"658","020021",2485.26666666667
"659","020023",2041.83333333333
"660","020025",2121.625
"661","020027",2379
"662","020029",2378.875
"663","020031",2198.2
"664","020033",2158.91666666667
"665","020035",2256.5
"666","020037",2487.71428571429
"667","020039",2125.625
"668","020041",2227.22222222222
"669","020043",2187.22222222222
"670","020045",2628.91666666667
"671","020047",2413.63636363636
"672","020049",2085.90909090909
"673","020051",2435.22222222222
"674","020053",2380
"675","020055",1906.5
"676","020057",2044.8
"677","020059",2254.66666666667
"678","020061",2353.14285714286
"679","020063",2045.5
"680","020065",2514.33333333333
"681","020067",1842
"682","020069",1812.33333333333
"683","020071",1812.33333333333
"684","020073",2202.08333333333
"685","020075",1933.2
"686","020077",2185
"687","020079",2317.78571428571
"688","020081",1847
"689","020083",2344.22222222222
"690","020085",2506.81818181818
"691","020087",2597.8
"692","020089",2526.9
"693","020091",2805.66666666667
"694","020093",1842
"695","020095",2087.63636363636
"696","020097",2274.3
"697","020099",2335.2
"698","020101",2436
"699","020103",2509.85714285714
"700","020105",2478.5
"701","020107",2112.4
"702","020109",2098.16666666667
"703","020111",2493.73333333333
"704","020113",2249.5
"705","020115",2348.38461538462
"706","020117",2390
"707","020119",2000.83333333333
"708","020121",2240.375
"709","020123",2410.75
"710","020125",2027.25
"711","020127",2337.58333333333
"712","020129",1957.5
"713","02013",3721
"714","020131",2481.83333333333
"715","020133",2393.3
"716","020135",2283.88888888889
"717","020137",2085.28571428571
"718","020139",2454
"719","020141",2452.09090909091
"720","020143",2386.71428571429
"721","020145",2369.61538461538
"722","020147",2188.45454545455
"723","020149",2453.33333333333
"724","020151",2077.5
"725","020153",1985.4
"726","020155",2302.41666666667
"727","020157",2323.3
"728","020159",2236
"729","020161",2439.33333333333
"730","020163",2400
"731","020165",2398.81818181818
"732","020167",2417.66666666667
"733","020169",2545.875
"734","020171",1812.33333333333
"735","020173",2579.63636363636
"736","020175",2249.375
"737","020177",2556
"738","020179",2444.66666666667
"739","020181",1981.4
"740","020183",2452.09090909091
"741","020185",2417.2
"742","020187",1952.2
"743","020189",1556.4
"744","020191",2476.23076923077
"745","020193",2466.42857142857
"746","020195",2466.42857142857
"747","020197",2342.46153846154
"748","020199",2100.66666666667
"749","02020",3395.66666666667
"750","020201",2366.45454545455
"751","020203",1812.33333333333
